Day,Cash On Hand
0,3500000
1,3487400
2,3220840
3,2096557
4,1916288
5,2008002
6,1996554
7,1392633
8,536651
9,691217
10,882601
11,411919
12,1293623
13,2589479
14,2383772
15,784849
16,2316550
17,1876882
18,1753732
19,1502831
20,1343144
21,1622719
22,3836263
23,4344788
24,5255366
25,5552090
26,5302236
27,5587760
28,5617628
29,7276551
30,8119880
31,7911855
32,8691888
33,8606855
34,9237801
35,8890534
36,8178587
37,10080553
38,11325029
39,11700259
40,12224627
41,11631467
42,11517945
43,12214292
44,13209872
45,13392410
46,13242906
47,13984013
48,13907202
49,13943812
50,14660943
51,14915239
52,15311639
53,14856878
54,15243319
55,15999278
56,16726573
57,17330143
58,17749210
59,17971942
60,17945001
61,17837476
62,18258224
63,18475890
64,18774448
65,18390178
66,18105196
67,18627930
68,18454800
69,18845720
70,18948707
71,19498455
72,19983700
73,19766345
74,19656909
75,19782083
76,19814740
77,19952365
78,19985354
79,20645833
80,21221547
81,21739365
82,22549203
83,22124002
84,22067732
85,22003801
86,22468416
87,22848713
88,22943900
89,23058755
90,22883100
