"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"90","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"90","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"90","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1500"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1500"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1500"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1700"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1700"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"90","Salary Expense","Cash Payment - Salary Expense","32924"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 282","15000"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"90","Rental Expense","Cash Payment - Rental - Miami","1800"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","693"
"90","Rental Expense","Cash Payment - Rental - New York","1340"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","621"
"90","Rental Expense","Cash Payment - Rental - Detroit","500"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1476"
"90","Rental Expense","Cash Payment - Rental - Chicago","740"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"89","Human Resource Expense","Counselled","2000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"89","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"89","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"89","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1500"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1500"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1500"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1700"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1700"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"89","Salary Expense","Cash Payment - Salary Expense","32924"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13236","200"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13248","107"
"89","Shipping Expense","Cash Payment - Move Stock ID: 12985","94960"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"89","Rental Expense","Cash Payment - Rental - Miami","1800"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1078"
"89","Rental Expense","Cash Payment - Rental - New York","1340"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","702"
"89","Rental Expense","Cash Payment - Rental - Detroit","500"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1558"
"89","Rental Expense","Cash Payment - Rental - Chicago","740"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"88","Human Resource Expense","Counselled","2000"
"88","Human Resource Expense","Counselled","2000"
"88","Human Resource Expense","Counselled","2000"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"88","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"88","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"88","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1500"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1500"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1500"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1700"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1700"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"88","Salary Expense","Cash Payment - Salary Expense","32924"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"88","Rental Expense","Cash Payment - Rental - Miami","1800"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1617"
"88","Rental Expense","Cash Payment - Rental - New York","1340"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","783"
"88","Rental Expense","Cash Payment - Rental - Detroit","500"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1640"
"88","Rental Expense","Cash Payment - Rental - Chicago","740"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
