Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,279160,-279160
3,75677,30926,379120,-348194
4,178368,93631,417080,-323449
5,304042,170747,461040,-290293
6,446991,261720,516378,-254658
7,585886,356548,593608,-237060
8,817531,510361,645373,-135012
9,1009369,592760,692645,-99885
10,1894788,1195421,743996,451425
11,2727587,1757190,811604,945586
12,4375656,2757101,897876,1859225
13,5759668,3561459,996032,2565427
14,5813911,3600090,1098600,2501490
15,6112287,3805930,1167684,2638246
16,8140070,4689467,1402960,3286507
17,8460578,4978624,1448045,3530579
18,10123578,5931164,1643312,4287852
19,10282435,6021406,1699104,4322302
20,10484851,6002549,1752808,4249741
21,10960576,6324978,1833340,4491638
22,13768243,7527832,1942209,5585623
23,14334706,8044312,2010147,6034165
24,15363696,8510520,2121923,6388597
25,15718236,8808602,2189739,6618863
26,15862339,8910568,2298696,6611872
27,16311788,9307423,2431924,6875499
28,16437864,9389610,2543132,6846478
29,18413041,10102906,2642065,7460841
30,19754865,10703256,2797765,7905491
31,19888258,10783807,2876940,7906867
32,20850816,11275914,3035255,8240659
33,21211228,11601153,3121952,8479201
34,22315832,12043072,3237365,8805707
35,22623548,12304183,3546735,8757448
36,22938394,12340336,3628443,8711893
37,24948492,13287704,3714458,9573246
38,26465449,14215225,3854095,10361130
39,27448633,14975936,3938161,11037775
40,28109197,15257298,4089357,11167941
41,29303410,15709955,4189959,11519996
42,29472355,15813449,4487426,11326023
43,30309095,16384948,4642819,11742129
44,31414658,16791768,4740277,12051491
45,31970374,17297205,4817138,12480067
46,32212213,17465969,4893683,12572286
47,33960271,18113143,4975391,13137752
48,34211289,18320634,5164418,13156216
49,34342672,18397359,5274191,13123168
50,35148502,18626793,5349827,13276966
51,35557367,18991397,5519396,13472001
52,36020372,19175354,5601001,13574353
53,36132054,19126139,5801600,13324539
54,36782603,19501178,6049218,13451960
55,37687906,20108779,6150226,13958553
56,38577623,20810956,6297742,14513214
57,39363230,21323124,6433380,14889744
58,39946466,21774889,6498092,15276797
59,40334369,22050509,6587043,15463466
60,40650750,22275471,6739176,15536295
61,40780895,22377437,6938746,15438691
62,41418234,22869497,7087055,15782442
63,41737918,23168055,7194073,15973982
64,42108089,23462502,7270686,16191816
65,42232257,23580476,7358321,16222155
66,42420450,23735420,7640979,16094441
67,43014979,24288398,7717774,16570624
68,43554930,24665177,7810397,16854780
69,44098187,25093282,7967620,17125662
70,44453083,25438769,8080132,17358637
71,45441300,25991575,8417209,17574366
72,46487277,26696310,8616629,18079681
73,46844672,27016975,8723603,18293372
74,47060942,27191619,9054309,18137310
75,47415614,27498466,9151107,18347359
76,47629319,27662035,9337155,18324880
77,47880097,27849860,9455308,18394552
78,49084833,28812858,9609655,19203203
79,49830396,29359994,9699739,19660255
80,51093612,30321851,9939601,20382250
81,51797232,30847770,10053105,20794665
82,52947764,31706702,10194517,21512185
83,53332907,31881173,10460571,21420602
84,53714604,32171854,10616414,21555440
85,53944713,32313492,10915454,21398038
86,54961193,32649020,11000716,21648304
87,55518513,32870134,11177739,21692395
88,56159081,33177171,11269063,21908108
89,56455825,33392849,11450952,21941897
90,56821743,33670640,11558026,22112614
